n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
300,300,20000,0.8,0.8,0.05,1.7354699461326477,NA
300,300,20000,0.8,0.8,0.3,-0.16780867288164933,NA
300,300,20000,0.8,0.95,0.005,86.14563425745494,NA
300,300,20000,0.8,0.95,0.05,-0.1247401477387361,NA
300,300,20000,0.8,0.95,0.3,-0.007946183887441727,NA
300,300,20000,0.8,1,0.005,0.2473605452487336,NA
300,300,20000,0.8,1,0.05,0.14114140623974758,NA
300,300,20000,0.8,1,0.3,0.06860322162951146,NA
300,300,20000,0.95,0.8,0.005,197.53538791392856,NA
300,300,20000,0.95,0.8,0.05,0.5598508486138187,NA
300,300,20000,0.95,0.8,0.3,-0.21256627402621575,NA
300,300,20000,0.95,0.95,0.005,67.0980267711291,NA
300,300,20000,0.95,0.95,0.05,-0.3307926411658113,NA
300,300,20000,0.95,0.95,0.3,-0.02477280481444355,NA
300,300,20000,0.95,1,0.005,-0.08822533125268234,NA
300,300,20000,0.95,1,0.05,0.04172172307687072,NA
300,300,20000,0.95,1,0.3,0.013282182631413342,NA
300,300,20000,1,0.8,0.005,176.87328293947888,NA
300,300,20000,1,0.8,0.05,-0.44820085627214623,NA
300,300,20000,1,0.8,0.3,-0.10882267195740555,NA
300,300,20000,1,0.95,0.005,62.164861560225795,NA
300,300,20000,1,0.95,0.05,-0.26767756355979,NA
300,300,20000,1,0.95,0.3,-0.047024530287006115,NA
300,300,20000,1,1,0.005,0.024300000000011812,NA
300,300,20000,1,1,0.05,-0.027520000000003098,NA
300,300,20000,1,1,0.3,0.006060000000011427,NA
300,3000,500,0.8,0.8,0.005,209.35774854095106,NA
300,3000,500,0.8,0.8,0.05,2.166060575096218,NA
300,3000,500,0.8,0.8,0.3,0.1820591614026627,NA
300,3000,500,0.8,0.95,0.005,69.18565851188465,NA
300,3000,500,0.8,0.95,0.05,-0.5568023945667633,NA
300,3000,500,0.8,0.95,0.3,0.16664562993279342,NA
300,3000,500,0.8,1,0.005,-0.25496643090365534,NA
300,3000,500,0.8,1,0.05,0.1329825855991701,NA
300,3000,500,0.8,1,0.3,0.09747774675065528,NA
300,3000,500,0.95,0.8,0.005,160.23619684029808,NA
300,3000,500,0.95,0.8,0.05,0.9664941807651095,NA
300,3000,500,0.95,0.8,0.3,-0.14160433750481927,NA
300,3000,500,0.95,0.95,0.005,50.68712325109883,NA
300,3000,500,0.95,0.95,0.05,-0.4253894859310853,NA
300,3000,500,0.95,0.95,0.3,-0.15594736208390803,NA
300,3000,500,0.95,1,0.005,-0.028310077513724746,NA
300,3000,500,0.95,1,0.05,0.12569941832575593,NA
300,3000,500,0.95,1,0.3,-0.03712914569161304,NA
300,3000,500,1,0.8,0.005,149.86041998816032,NA
300,3000,500,1,0.8,0.05,0.7544813909335091,NA
300,3000,500,1,0.8,0.3,-0.04741430777066569,NA
300,3000,500,1,0.95,0.005,50.15288837307934,NA
300,3000,500,1,0.95,0.05,-0.31385352378485165,NA
300,3000,500,1,0.95,0.3,0.0208660742220812,NA
300,3000,500,1,1,0.005,0.884000000000093,NA
300,3000,500,1,1,0.05,-0.019599999999911355,NA
300,3000,500,1,1,0.3,0.096000000000022,NA
300,3000,5000,0.8,0.8,0.005,77.99050256291862,NA
300,3000,5000,0.8,0.8,0.05,-0.2716478750751511,NA
300,3000,5000,0.8,0.8,0.3,-0.008412663400588402,NA
300,3000,5000,0.8,0.95,0.005,18.01053519806698,NA
300,3000,5000,0.8,0.95,0.05,0.05339166487938751,NA
300,3000,5000,0.8,0.95,0.3,0.09366396778690926,NA
300,3000,5000,0.8,1,0.005,0.050038471067579554,NA
300,3000,5000,0.8,1,0.05,0.2597003520876523,NA
300,3000,5000,0.8,1,0.3,0.04818817153638226,NA
300,3000,5000,0.95,0.8,0.005,53.74002761572447,NA
300,3000,5000,0.95,0.8,0.05,-0.2045750903977711,NA
300,3000,5000,0.95,0.8,0.3,-0.10725103579922735,NA
300,3000,5000,0.95,0.95,0.005,10.22495872727569,NA
300,3000,5000,0.95,0.95,0.05,-0.1213155960477913,NA
300,3000,5000,0.95,0.95,0.3,0.024378915160438996,NA
300,3000,5000,0.95,1,0.005,-0.11016966243487109,NA
300,3000,5000,0.95,1,0.05,0.0615697750185884,NA
300,3000,5000,0.95,1,0.3,0.03591170544579396,NA
300,3000,5000,1,0.8,0.005,49.03573618467228,NA
300,3000,5000,1,0.8,0.05,-0.2967295547964266,NA
300,3000,5000,1,0.8,0.3,-0.041452031244596885,NA
300,3000,5000,1,0.95,0.005,9.280583347003688,NA
300,3000,5000,1,0.95,0.05,0.1624770612713572,NA
300,3000,5000,1,0.95,0.3,-0.03376095493734521,NA
300,3000,5000,1,1,0.005,0.35719999999985624,NA
300,3000,5000,1,1,0.05,0.06087999999999927,NA
300,3000,5000,1,1,0.3,0.018020000000007474,NA
300,3000,20000,0.8,0.8,0.005,60.5654492035817,NA
300,3000,20000,0.8,0.8,0.05,0.2518728738820919,NA
300,3000,20000,0.8,0.8,0.3,0.10574552590788175,NA
300,3000,20000,0.8,0.95,0.005,12.41614722688078,NA
300,3000,20000,0.8,0.95,0.05,-0.0470144637765707,NA
300,3000,20000,0.8,0.95,0.3,0.08796697927460073,NA
300,3000,20000,0.8,1,0.005,0.11317822440575984,NA
